# format : vendor | vendor error code | error code | message
# error code's first character has an special meaning,
# 'F' means Fatal error ex) user/password is invalid, db url is invalid
# 'T' means Temporary error. ex) reset connection, table is not found,
# 'I' means throws away this sql or skip this transaction ex) unique key error
Altibase	|200720 |F0001	|user id is invalid
Altibase	|266286 |F0002	|user password is invalid
Altibase	|200705	|F0003	|SQL syntax error
Altibase	|201204	|F0004	|Invalid column name
Altibase	|200792	|F0004	|Invalid column name
Altibase	|397367	|F0005	|Table does not exist
Altibase	|200753	|F0005	|Table does not exist
Altibase	|69720	|I0001	|The row already exists in a unique index
Altibase	|135181	|I0002	|Invalid length of the data type
Altibase	|200820 |I0003	|Unable to update NULL into NOT NULL column.

Mysql		|1146	|F0005	|Table does not exist
Mysql		|1054	|F0004	|Invalid column name
Mysql		|1062	|I0001	|The row already exists in a unique index

Oracle		|955	|F0004	|Object name is already in use
Oracle		|942	|F0005	|Table does not exist
Oracle		|904	|F0004	|Invalid column name
Oracle		|1	|I0001	|The row already exists in a unique index
Oracle		|1400	|I0001	|can't insert null
Oracle		|12899	|I0002	|Invalid length of the data type
Oracle		|17008  |I0003  |Connection is closed

Mssql	|208	|F0005	|Table does not exist
Mssql	|207	|F0004	|Invalid column name
Mssql	|4060	|F0001	|user id is invalid
Mssql	|2627	|I0001	|The row already exists in a unique index

Sybase		|208	|F0005	|Table does not exist
Sybase		|207	|F0004	|Invalid column name
Sybase		|4060	|F0001	|user id is invalid
Sybase		|2627	|I0001	|The row already exists in a unique index

DB2			|-206	|F0004	|Invalid column name
DB2			|-204	|F0005	|Table does not exist
DB2			|-803	|I0001	|The row already exists in a unique index

As400		|-206	|F0004	|Invalid column name
As400		|-204	|F0005	|Table does not exist
As400		|-803	|I0001	|The row already exists in a unique index

Informix	|-206	|F0005	|Table does not exist
Informix	|-217	|F0004	|Invalid column name
Informix	|-268	|I0001	|The row already exists in a unique index

Tibero		|-8033	|F0005	|Table does not exist
Tibero		|-8026	|F0004	|Invalid column name

Postgres	|28000	|F0001	|user id is invalid
Postgres	|28P01	|F0002	|user password is invalid
Postgres	|42601	|F0003	|SQL syntax error
Postgres	|42703	|F0004	|Invalid column name
Postgres	|42P01	|F0005	|Table does not exist
Postgres	|22001	|I0002	|Invalid length of the data type
Postgres	|22026	|I0002	|Invalid length of the data type

undefined	|		|T9999	|undefined error
